posicao,razao_social,label,cnpjs,acumulado_real,renuncia_2023_nominal,renuncia_2023_corrigida,posicao_html,acumulado_html_bi,acumulado_confere
1,PETROLEO BRASILEIRO S A PETROBRAS,Petrobras,62,167229567788.5101812820655116,7997331342.20,9057488791.940046109954750460,1,167.2,True
2,GE CELMA LTDA.,GE Celma,4,56524119393.47330486783724063,6324744478.78,7163177287.171841596716545854,2,56.5,True
3,VALE S.A.,Vale,23,39779967370.86383655154607143,5063742871.33,5735012385.984341971864493569,3,39.8,True
4,SAMSUNG ELETRONICA DA AMAZONIA LTDA,Samsung Amazônia,5,29603775812.34070872000839596,2125681807.97,2407470483.225307170498965921,4,29.6,True
5,EMBRAER S.A.,Embraer,8,27749647356.06284219393357319,2699982590.18,3057902818.149487676884897874,5,27.7,True
6,TAM LINHAS AEREAS S/A.,LATAM (TAM),12,27625940674.29277865187134071,3908475111.29,4426597823.611905538812767597,6,27.6,True
7,STELLANTIS AUTOMOVEIS BRASIL LTDA.,Stellantis Brasil,7,26285310506.79652100911414570,3714394389.00,4206789003.437434153835477700,7,26.3,True
8,MODEC SERVICOS DE PETROLEO DO BRASIL LTDA,Modec,4,19679149720.15512015835206040,4076689096.00,4617110910.536133252046832800,8,19.7,True
9,GENERAL MOTORS DO BRASIL LTDA,GM Brasil,9,18809889152.65764182474389089,2555521060.70,2894290904.606879556347522510,9,18.8,True
10,CNH INDUSTRIAL BRASIL LTDA.,CNH Industrial,8,14058373142.83397583728342780,1627755431.00,1843537042.726337456948648300,10,14.1,True
11,CATERPILLAR BRASIL LTDA,Caterpillar Brasil,4,14008889999.34450294326114061,1665792825.67,1886616822.862513424438668531,11,14.0,True
12,RENAULT DO BRASIL S.A,Renault Brasil,1,14007916934.56909233135550090,1092723189.85,1237578839.897944844617424605,12,14.0,True
13,YARA BRASIL FERTILIZANTES S/A,Yara Brasil,30,13980820000.91350947224706347,989522641.00,1120697623.585379565941101300,13,14.0,True
14,SYNGENTA PROTECAO DE CULTIVOS LTDA,Syngenta Brasil,9,13149954168.63161147905351110,1233961305.00,1397540030.728628621756836500,14,13.1,True
15,MINISTERIO DA SAUDE,Ministério da Saúde,5,12754864024.40015873576906320,1492971275.00,1690885373.055081214581357500,15,12.8,True
16,VENTURA PETROLEO S.A.,Ventura Petróleo,1,11169317229.56597361862634620,2662431159.00,3015373422.719862610201238700,16,11.2,True
17,LG ELECTRONICS DO BRASIL LTDA,LG Brasil,2,10962276787.65669692900689635,841351305.00,952884117.094151337083836500,17,11.0,True
18,VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES LTDA,Volkswagen Brasil,5,10888459573.83925018657377150,1985863626.00,2249117457.457797557768161800,18,10.9,True
19,AZUL LINHAS AEREAS BRASILEIRAS S.A.,Azul,4,10208602568.65098456510552740,1035396020.00,1172652156.711753433001786000,19,10.2,True
20,GOL LINHAS AEREAS S.A.,Gol,4,10114702989.07900376667823309,528381343.58,598425636.323520920726700494,20,10.1,True
